Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
ferocity,noun,violence,This ferocity represents a breakthrough in computing.,,Est. Medium,Est. Mid
keen,adjective,acute,The keen landscape attracted tourists.,,Est. Core,Est. High
gigantism,noun,unusual or abnormal largeness.,The gigantism inspired a new artistic movement.,,Est. Advanced,Est. Low
eternal,adjective,existing or continuing forever,The team's eternal strategy secured victory.,,Est. Medium,Est. Mid
phase,noun,"stage, period, episode",The phase marked a turning point in civilization.,,Est. Core,Est. High
ascend,verb,to rise,Doctors ascend treatment based on test results.,,Est. Medium,Est. Mid
log,noun,chunk of wood,The log affected quarterly earnings.,,Est. Core,Est. High
testimony,noun,testament,Scientists studied the testimony under controlled conditions.,,Est. Advanced,Est. Low
estrange,verb,"alienate, distance, antagonize",Teachers estrange student progress throughout the semester.,,Est. Medium,Est. Mid
indigent,adjective,suffering,The indigent policy gained bipartisan support.,,Est. Medium,Est. Mid
nostalgic,adjective,homesick,His nostalgic attitude made him popular.,,Est. Advanced,Est. Low
subsequent,adjective,"following, ensuing, succeeding",The subsequent design won industry awards.,,Est. Advanced,Est. Low
culinary,adjective,connected with cooking or food,The culinary landscape attracted tourists.,,Est. Medium,Est. Mid
crass,adjective,stupid,Critics praised the crass performance.,,Est. Core,Est. High
beadwork,noun,decorative work made of beads,The team's beadwork determined the championship outcome.,,Est. Medium,Est. Mid
crumble,verb,break,Historians crumble primary sources for accuracy.,,Est. Medium,Est. Mid
misconstrued,adjective,"misunderstood, misinterpreted",The misconstrued symptoms indicated a rare condition.,,Est. Advanced,Est. Low
pedagogy,noun,the study of teaching methods,The pedagogy affected quarterly earnings.,,Est. Medium,Est. Mid
rousing,adjective,full of energy and enthusiasm,The rousing results confirmed the theory.,,Est. Medium,Est. Mid
dearth,noun,a lack of something,The dearth plays a crucial role in student development.,,Est. Medium,Est. Mid
alacrity,noun,great happiness or enthusiasm,The alacrity influenced voter turnout.,,Est. Medium,Est. Mid
compliance,noun,obedience to,The compliance made everyday tasks easier.,,Est. Advanced,Est. Low
decent,adjective,"respectable, proper, pleasant",The decent design won industry awards.,,Est. Medium,Est. Mid
discord,noun,disagreement,The discord is essential for ecosystem balance.,,Est. Medium,Est. Mid
bankruptcy,noun,failure,The bankruptcy inspired a new artistic movement.,,Est. Advanced,Est. Low
malady,noun,an illness,The team's malady determined the championship outcome.,,Est. Medium,Est. Mid
identical,adjective,similar in every detail,The identical artifact revealed ancient practices.,,Est. Advanced,Est. Low
awash,verb; noun,something in large quantities,Understanding 'awash' is essential in this field.,,Est. Core,Est. High
setback,noun,problem,The setback affected quarterly earnings.,,Est. Medium,Est. Mid
antagonism,noun,hostility,Scientists studied the antagonism under controlled conditions.,,Est. Advanced,Est. Low
itinerant,adjective,traveling,Her itinerant approach engaged students.,,Est. Advanced,Est. Low
bestow,verb,"give, grant, confer on, endow",The senator will bestow the proposed legislation.,,Est. Medium,Est. Mid
primly,adverb,formally,She responded primly to the unexpected news.,prudish(),Est. Medium,Est. Mid
hospitable,adjective,friendly,The hospitable design won industry awards.,,Est. Advanced,Est. Low
perpetuate,verb,to cause to last indefinitely,Animals perpetuate when environmental conditions change.,,Est. Advanced,Est. Low
contort,verb,to twist in a violent manner,The artist chose to contort traditional techniques.,,Est. Medium,Est. Mid
consummate,adjective,showing great skill,The team's consummate strategy secured victory.,,Est. Advanced,Est. Low
ditty,noun,"a short, simple song or poem",The ditty marked a turning point in civilization.,,Est. Core,Est. High
mendacious,adjective,not telling the truth,The mendacious symptoms indicated a rare condition.,,Est. Advanced,Est. Low
seclusion,noun,isolation,The seclusion affected quarterly earnings.,,Est. Advanced,Est. Low
warp,verb,"twist, bend, deform",Researchers warp the hypothesis through experimentation.,,Est. Core,Est. High
hue,noun,"color, tone",The hue plays a crucial role in student development.,,Est. Core,Est. High
judicial,adjective,"legal, impartial, of a judge",The judicial policy gained bipartisan support.,,Est. Medium,Est. Mid
comparable,adjective,similar,His comparable attitude made him popular.,,Est. Advanced,Est. Low
robust,adjective,strong and healthy,The robust design won industry awards.,,Est. Medium,Est. Mid
agitate,verb,"upset, stir, campaign, fight",Animals agitate when environmental conditions change.,,Est. Medium,Est. Mid
nocturnal,adjective,active at night,Critics praised the nocturnal performance.,,Est. Advanced,Est. Low
primordial,adjective,earliest,The team's primordial strategy secured victory.,,Est. Advanced,Est. Low
celerity,noun,rapidity of motion or action,The celerity marked a turning point in civilization.,,Est. Medium,Est. Mid
nurse,verb,nurture,Doctors nurse treatment based on test results.,,Est. Core,Est. High
guarded,adjective,cautious,The guarded proposal impressed investors.,circumspect; cautious; watchful,Est. Medium,Est. Mid
utter,adjective,"complete, absolute, outright",The utter results confirmed the theory.,categorical; unmitigated; absolute,Est. Core,Est. High
scramble,noun,"clamber, climb, move quickly",The scramble plays a crucial role in student development.,,Est. Medium,Est. Mid
skyrocket,verb,to rise abruptly and rapidly,The senator will skyrocket the proposed legislation.,soar; spike,Est. Advanced,Est. Low
intricate,adjective,very complicated or detailed,His intricate attitude made him popular.,,Est. Advanced,Est. Low
clueless,adjective,"ignorant, unaware, oblivious",The clueless design won industry awards.,,Est. Medium,Est. Mid
lax,adjective,slack,The lax landscape attracted tourists.,,Est. Core,Est. High
habitable,adjective,"inhabitable, fit to live in",Critics praised the habitable performance.,,Est. Advanced,Est. Low
doomed,adjective,"ill-fated, cursed, luckless",The team's doomed strategy secured victory.,,Est. Medium,Est. Mid
devoid,adjective,"lacking, without, free",The devoid artifact revealed ancient practices.,,Est. Medium,Est. Mid
deride,verb,"ridicule, mock, make fun of",Doctors deride treatment based on test results.,,Est. Medium,Est. Mid
hyperbole,noun,"exaggeration, overstatement",The hyperbole affected quarterly earnings.,,Est. Advanced,Est. Low
restrain,verb,prevent,Researchers restrain the hypothesis through experimentation.,,Est. Medium,Est. Mid
foster,verb,"encourage, promote, nurture",Teachers foster student progress throughout the semester.,,Est. Medium,Est. Mid
reminisce,verb,"remember, recall, recollect",The senator will reminisce the proposed legislation.,,Est. Advanced,Est. Low
rule,noun,exclude,The rule made everyday tasks easier.,,Est. Core,Est. High
hectic,adjective,very busy,The hectic design won industry awards.,,Est. Medium,Est. Mid
scavenge,verb,search through,Animals scavenge when environmental conditions change.,,Est. Medium,Est. Mid
edifice,adjective,a large impressive building,Critics praised the edifice performance.,building; structure; construction,Est. Medium,Est. Mid
issue,noun,come out of,The team's issue determined the championship outcome.,,Est. Core,Est. High
prevalent,adjective,"common, widespread, popular",The prevalent artifact revealed ancient practices.,,Est. Advanced,Est. Low
flamboyant,adjective,ostentatious,The flamboyant symptoms indicated a rare condition.,,Est. Advanced,Est. Low
engender,verb,cause,The company decided to engender its expansion plans.,,Est. Medium,Est. Mid
amiable,adjective,friendly,The amiable results confirmed the theory.,,Est. Medium,Est. Mid
coerce,verb,constrain,Teachers coerce student progress throughout the semester.,,Est. Medium,Est. Mid
relate,verb,give an account of,The senator will relate the proposed legislation.,,Est. Medium,Est. Mid
evident,adjective,clear,His evident attitude made him popular.,,Est. Medium,Est. Mid
endearing,adjective,"lovable, lovely, attractive",The endearing design won industry awards.,,Est. Advanced,Est. Low
upright,adjective,vertical,The upright landscape attracted tourists.,,Est. Medium,Est. Mid
canopy,noun,a cover,The canopy inspired a new artistic movement.,,Est. Medium,Est. Mid
triumph,noun,victory,The team's triumph determined the championship outcome.,,Est. Medium,Est. Mid
commodity,noun,product,The commodity marked a turning point in civilization.,,Est. Advanced,Est. Low
fallacious,adjective,"false, incorrect, illogical",The fallacious symptoms indicated a rare condition.,,Est. Advanced,Est. Low
abate,verb,subside,The company decided to abate its expansion plans.,,Est. Core,Est. High
preceding,adjective,happening before something,The preceding results confirmed the theory.,,Est. Advanced,Est. Low
imprecise,adjective,"inaccurate, inexact, vague",Her imprecise approach engaged students.,,Est. Advanced,Est. Low
sketchy,adjective,incomplete,The sketchy policy gained bipartisan support.,,Est. Medium,Est. Mid
bisect,verb,cut in half,She learned to bisect her daily routine.,,Est. Medium,Est. Mid
timid,adjective,shy and nervous,The timid design won industry awards.,,Est. Core,Est. High
underlying,adjective,latent,The underlying landscape attracted tourists.,,Est. Advanced,Est. Low
defy,verb,disobey,The artist chose to defy traditional techniques.,,Est. Core,Est. High
paternal,adjective,fatherly,The team's paternal strategy secured victory.,,Est. Medium,Est. Mid
contempt,noun,"disdain, scorn, disrespect",The contempt marked a turning point in civilization.,,Est. Medium,Est. Mid
exalt,noun,v.praise,Understanding the exalt helps improve patient care.,,Est. Core,Est. High
flee,verb,escape,The company decided to flee its expansion plans.,,Est. Core,Est. High
replicable,adjective,that can be copied exactly,The replicable results confirmed the theory.,,Est. Advanced,Est. Low
underway,adjective,occurring adv. in progress,Her underway approach engaged students.,,Est. Medium,Est. Mid
advent,noun,a coming into being or use,The advent influenced voter turnout.,,Est. Medium,Est. Mid
acme,noun,the highest point or stage,The acme made everyday tasks easier.,pinnacle; summit; peak; heyday,Est. Core,Est. High
irrelevant,adjective,not relevant,The irrelevant design won industry awards.,,Est. Advanced,Est. Low
rift,noun,"crack, split, disagreement",The rift is essential for ecosystem balance.,,Est. Core,Est. High
fatal,adjective,"deadly, lethal",Critics praised the fatal performance.,,Est. Core,Est. High
adept,adjective,"proficient, skillful, deft",The team's adept strategy secured victory.,,Est. Core,Est. High
plaint,noun,a complaint or lamentation,The plaint marked a turning point in civilization.,,Est. Medium,Est. Mid
pretension,noun,pretentiousness,Understanding the pretension helps improve patient care.,,Est. Advanced,Est. Low
sizable,adjective,fairly large,The sizable proposal impressed investors.,considerable; substantial,Est. Medium,Est. Mid
imprudence,noun,not being wise or sensible,Scientists studied the imprudence under controlled conditions.,,Est. Advanced,Est. Low
status,noun,the situation as it is now,The status plays a crucial role in student development.,,Est. Medium,Est. Mid
inject,verb,instill,The senator will inject the proposed legislation.,,Est. Medium,Est. Mid
longing,noun,"yearning, craving, desire",The longing made everyday tasks easier.,,Est. Medium,Est. Mid
discrepancy,noun,difference,This discrepancy represents a breakthrough in computing.,,Est. Advanced,Est. Low
philanthropist,noun,benefactor,The philanthropist is essential for ecosystem balance.,,Est. Advanced,Est. Low
flatter,verb,compliment,The artist chose to flatter traditional techniques.,,Est. Medium,Est. Mid
