Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
likeable,adjective,pleasant,Weather remained likeable during the expedition.,agreeable; endearing,Medium,Mid
chastise,verb,reprimand,Recent studies chastise previous assumptions about climate patterns.,,Medium,Mid
groan,verb,"complain, grumble",Engineers groan the bridge design after stress tests.,,Core,High
alimony,noun,financial support,The alimony affected production schedules throughout the quarter.,,Medium,Mid
exacting,adjective,demanding,The exacting conditions lasted several weeks.,,Medium,Mid
relinquish,verb,"give up, renounce",Historians relinquish the accuracy of ancient texts.,,Advanced,Low
readily,adverb,willingly,Markets reacted readily to the news.,,Medium,Mid
detrimental,adjective,harmful,His detrimental reasoning convinced the board members.,,Advanced,Low
pertain,noun,be connected with,Researchers studied the pertain under laboratory conditions.,,Medium,Mid
paragon,noun,a perfect example,Success depends on understanding the paragon.,,Medium,Mid
circumscribed,adjective,limited,The circumscribed proposal gained widespread support.,,Advanced,Low
insatiable,adjective,"voracious, greedy",Students found the insatiable explanation helpful.,,Advanced,Low
stand,noun,"attitude, opinion",Budget constraints limited the stand.,,Core,High
bliss,noun,extreme happiness,The team's bliss improved over time.,,Core,High
wary,adjective,cautious,The wary evidence supported the theory.,,Core,High
transaction,noun,deal,The transaction emerged as a critical factor.,,Advanced,Low
interweave,verb,to twist together,Recent studies interweave previous assumptions about climate patterns.,,Advanced,Low
abolish,verb,terminate,Engineers abolish the bridge design after stress tests.,,Medium,Mid
palpable,adjective,tangible,Budget constraints made expansion palpable.,,Medium,Mid
additive,noun,added ingredient,The research additive took three years to complete.,,Medium,Mid
drudgery,noun,hard boring work,Evidence clearly supported the drudgery.,,Medium,Mid
manifold,adjective,many and various,The team showed manifold improvement over time.,,Medium,Mid
reinforce,verb,to make stronger,Teachers reinforce different learning styles in lesson plans.,strengthen; fortify; beef up,Advanced,Low
concerning,noun,about,Researchers studied the concerning under laboratory conditions.,,Advanced,Low
onset,noun,beginning,The onset of symptoms typically occurs within 48 hours.,,Core,High
entail,verb,involve,This position entails frequent travel to branch offices.,,Medium,Mid
nebulous,adjective,"not clear, vague",The contract's nebulous wording created legal disputes later.,,Medium,Mid
defect,noun,flaw,Quality control identified a defect in the production line.,,Medium,Mid
domicile,noun,home,"Tax laws depend on your legal domicile, not temporary residence.",,Medium,Mid
grumble,verb,"complain, groan",Workers grumble about the new scheduling system.,,Medium,Mid
echo,verb,"repeat, restate",Her footsteps echoed through the empty corridor.,repeat; reverberate,Core,High
cleave,verb,to split or cut,The ship's bow cleaved through the rough seas.,,Medium,Mid
saline,adjective,containing salt,Doctors administered saline solution to dehydrated patients.,,Medium,Mid
minuscule,adjective,extremely small,The measurement error was minuscule but still significant.,,Advanced,Low
tempest,noun,a violent storm,Ships sought harbor before the tempest struck the coast.,,Medium,Mid
appellation,noun,a name or title,The wine's appellation guarantees its regional origin.,,Advanced,Low
might,noun,strength,The empire demonstrated its might through massive monuments.,,Core,High
reiterate,verb,"repeat, restate",Let me reiterate the safety procedures before we begin.,,Advanced,Low
aloft,adverb,high in the air,Hot air balloons floated aloft in the morning sky.,,Core,High
scrutinize,verb,closely examine,Accountants scrutinize expense reports for irregularities.,,Advanced,Low
deem,verb,consider,Inspectors deemed the building unsafe for occupation.,,Core,High
self-assurance,noun,self-confidence,Public speaking requires a certain level of self-assurance.,,Advanced,Low
steeped,adjective,thoroughly soaked or saturated with; having extensive knowledge or experience of,The historic district is steeped in colonial architecture.,,Medium,Mid
collision,noun,crash,The collision between two cargo ships blocked the shipping channel.,,Advanced,Low
inquisitive,adjective,"curious, prying",Inquisitive students ask questions that challenge assumptions.,,Advanced,Low
part,verb,"separate, leave",Friends must sometimes part when life takes different directions.,,Core,High
substantiate,verb,prove,Witness testimony helped substantiate the defendant's alibi.,,Advanced,Low
repeal,verb,revoke,Legislators voted to repeal the controversial tax law.,,Medium,Mid
rummage,verb,search through,She had to rummage through boxes to find old photographs.,,Medium,Mid
disavow,verb,deny,The company disavowed any knowledge of illegal practices.,,Medium,Mid
sue,verb,charge,Injured workers may sue employers for unsafe conditions.,,Core,High
revoke,verb,cancel,Authorities can revoke licenses for serious violations.,,Medium,Mid
sediment,noun,deposit,River sediment gradually forms new land at deltas.,,Medium,Mid
critical,adjective,vital,Timing proved critical to the rescue operation's success.,,Medium,Mid
incipient,adjective,just beginning,Doctors detected the disease in its incipient stage.,,Advanced,Low
exhort,verb,urge strongly,Coaches exhort players to maintain focus during playoffs.,,Medium,Mid
paradoxical,adjective,contradictory,It seems paradoxical that restrictions can increase creativity.,,Advanced,Low
traverse,verb,travel across,Hikers carefully traverse the narrow mountain trail.,,Medium,Mid
shun,verb,avoid,Traditional communities sometimes shun modern technology.,,Core,High
yearn,verb,"desire, crave",Elderly immigrants often yearn for their childhood homes.,,Core,High
befall,verb,"happen, occur",Misfortune can befall even the most careful planners.,,Medium,Mid
veritable,adjective,"true, literal",The attic contained a veritable museum of family history.,,Advanced,Low
dine,verb,to eat dinner,Executives often dine with clients to build relationships.,,Core,High
endow,verb,"give, donate",Wealthy alumni endow scholarships at their former schools.,,Core,High
agrarian,adjective,agricultural,Agrarian societies depend primarily on farming for survival.,,Medium,Mid
fright,noun,fear,The sudden noise gave everyone a terrible fright.,,Medium,Mid
voracious,adjective,greedy,Teenagers often have voracious appetites after sports practice.,,Advanced,Low
stay,noun,attention to,The judge granted a stay of execution pending new evidence.,,Core,High
entrenched,adjective,deep-rooted,Entrenched traditions resist change despite social progress.,,Advanced,Low
mend,verb,repair,Time and communication can mend damaged friendships.,,Core,High
inevitable,adjective,unavoidable,Technological advancement makes some job losses inevitable.,,Advanced,Low
trendy,adjective,fashionable,Trendy restaurants often have long waiting lists.,fashionable,Medium,Mid
scandalous,adjective,disgraceful,The mayor's scandalous behavior dominated news coverage.,,Advanced,Low
optimal,adjective,best,Athletes train to achieve optimal performance during competitions.,,Medium,Mid
elapse,verb,pass,Several hours elapsed before anyone noticed the error.,,Medium,Mid
lucrative,adjective,profitable,Technology consulting can be a lucrative career choice.,,Advanced,Low
diminutive,adjective,very small,Her diminutive size belied her commanding presence.,,Advanced,Low
irate,adjective,very angry,Irate passengers demanded refunds for the cancelled flights.,,Core,High
overstate,verb,exaggerate,Politicians sometimes overstate their accomplishments during campaigns.,,Advanced,Low
cluttered,adjective,disorderly,A cluttered workspace can reduce productivity and focus.,,Advanced,Low
outsized,adjective,very large,The small startup had an outsized influence on the industry.,,Medium,Mid
wound,noun,an injury,The deep wound required immediate medical attention.,,Core,High
cease,verb,"stop, end",Factory operations will cease during the renovation period.,,Core,High
decelerate,verb,slow down,Drivers must decelerate when approaching school zones.,,Advanced,Low
soot,noun,ash,Chimney soot indicates incomplete fuel combustion.,,Core,High
doleful,adjective,very sad,The abandoned dog's doleful expression touched everyone's heart.,,Medium,Mid
flaunt,verb,show off,Some wealthy individuals flaunt their fortune through conspicuous purchases.,,Medium,Mid
antagonist,noun,opponent,"In literature, the antagonist opposes the main character's goals.",,Advanced,Low
jocose,adjective,humorous,His jocose remarks lightened the mood during stressful meetings.,,Medium,Mid
innocuous,adjective,harmless,What appeared innocuous actually had serious implications.,,Advanced,Low
for,preposition,forever,Understanding 'for' is essential for academic success.,,Core,High
gouge,verb,dig out,Dishonest contractors sometimes gouge customers during emergencies.,,Core,High
akin,adjective,similar,Her teaching method is akin to guided discovery.,,Core,High
liken,verb,compare,Poets often liken love to natural phenomena.,,Core,High
trade,noun,balance,International trade agreements affect domestic manufacturing.,,Core,High
crave,verb,desire,Marathon runners crave salt after long races.,,Core,High
debilitate,verb,weaken,Chronic illness can debilitate even the strongest individuals.,,Advanced,Low
specimen,noun,sample,Biologists collected a specimen for laboratory analysis.,,Medium,Mid
compliment,noun; verb,praise,A sincere compliment can brighten someone's entire day.,,Advanced,Low
tap,verb,use of,Companies hope to tap unexplored markets in developing nations.,,Core,High
indigenous,adjective,native,Indigenous plants require less water than imported species.,,Advanced,Low
moniker,noun,a name,The athlete earned the moniker 'Iron Man' through determination.,,Medium,Mid
scowling,adjective,angry,The scowling security guard intimidated visitors.,,Medium,Mid
velocity,noun,speed,Objects gain velocity as they fall toward Earth.,,Medium,Mid
slumber,noun,sleep,The infant finally drifted into peaceful slumber.,dormancy(); hibernation(),Medium,Mid
